iter	Logloss
0	0.6331139111
1	0.584572291
2	0.5495148574
3	0.5237019686
4	0.5030785165
5	0.4868558073
6	0.4747014679
7	0.464484074
8	0.4550081402
9	0.4482112137
10	0.4422257401
11	0.4359071776
12	0.4312592422
13	0.4278312956
14	0.4254667671
15	0.4228639816
16	0.4205795373
17	0.418050529
18	0.4157643126
19	0.4144420686
20	0.4128701351
21	0.4113701132
22	0.4101288867
23	0.4092284667
24	0.4083340635
25	0.4072287533
26	0.4062929066
27	0.4056206182
28	0.4041472181
29	0.4032392369
30	0.4019211909
31	0.4015545391
32	0.4009958663
33	0.4005852713
34	0.3996451212
35	0.3988108632
36	0.3975884655
37	0.3973942356
38	0.3969245895
39	0.3968445311
40	0.3966984259
41	0.3960826051
42	0.3960507627
43	0.3952311826
44	0.3951485578
45	0.3951470657
46	0.3951107357
47	0.3945497821
48	0.3936538079
49	0.393317541
50	0.3932955165
51	0.393231307
52	0.3923877972
53	0.3923611348
54	0.3921436238
55	0.3915545905
56	0.3904533175
57	0.3900046137
58	0.3898409318
59	0.3894369179
60	0.3893941254
61	0.3891159988
62	0.3884502849
63	0.3875850114
64	0.3875581791
65	0.3872959077
66	0.387177102
67	0.3870207488
68	0.3866662209
69	0.3864175604
70	0.3864128881
71	0.3859967655
72	0.3856306263
73	0.38554097
74	0.3852356078
75	0.3849602793
76	0.3849283429
77	0.3847208141
78	0.3846658488
79	0.3844897387
80	0.3841792181
81	0.3831120992
82	0.3828342104
83	0.3827732824
84	0.3826568284
85	0.3825663128
86	0.3825644586
87	0.3824008689
88	0.3822821358
89	0.3821042974
90	0.3819987412
91	0.3818970479
92	0.3817165203
93	0.3816646496
94	0.381580063
95	0.380842752
96	0.3807660527
97	0.3800535833
98	0.3800139074
99	0.3800082676
