iter	Passed	Remaining
0	62	6156
1	88	4355
2	126	4086
3	194	4663
4	245	4658
5	282	4419
6	310	4126
7	352	4050
8	393	3982
9	438	3945
10	489	3964
11	535	3927
12	580	3881
13	625	3840
14	647	3670
15	671	3527
16	721	3520
17	767	3494
18	812	3464
19	873	3492
20	915	3442
21	958	3397
22	972	3255
23	1016	3217
24	1056	3170
25	1128	3210
26	1165	3150
27	1244	3200
28	1286	3150
29	1331	3107
30	1375	3061
31	1418	3013
32	1458	2961
33	1503	2918
34	1532	2846
35	1572	2795
36	1621	2761
37	1665	2716
38	1710	2675
39	1758	2637
40	1795	2583
41	1837	2537
42	1878	2490
43	1914	2436
44	1958	2394
45	1973	2316
46	2017	2274
47	2045	2216
48	2090	2175
49	2134	2134
50	2150	2066
51	2193	2025
52	2238	1985
53	2274	1937
54	2290	1873
55	2335	1835
56	2357	1778
57	2372	1717
58	2416	1678
59	2459	1639
60	2502	1600
61	2550	1562
62	2592	1522
63	2636	1483
64	2681	1443
65	2722	1402
66	2745	1352
67	2787	1311
68	2830	1271
69	2871	1230
70	2915	1191
71	2947	1146
72	2975	1100
73	3005	1056
74	3053	1017
75	3098	978
76	3145	939
77	3188	899
78	3237	860
79	3280	820
80	3328	780
81	3370	739
82	3416	699
83	3463	659
84	3505	618
85	3550	577
86	3594	537
87	3637	496
88	3653	451
89	3687	409
90	3732	369
91	3779	328
92	3827	288
93	3841	245
94	3881	204
95	3924	163
96	3964	122
97	4009	81
98	4051	40
99	4096	0
